id,name,TR,description,size,type,space,reach,hp,baseAC,saveTough,saveDodge,saveResist,str,per,agi,end,int,cha,skillAcr,skillAcq,skill Ath,skillBlu,skillCra,skillEng,skillExp,skillGun,skillHtH,skillHan,skillLin,skillLoc,skillPic,skillMel,skillRan,skillRep,skillSci,skillSen,skillSne,skillSur,skillTol,skillThe,skillThr,skillUse,armClo,armHea,armTor,armLfA,armRgA,armLfL,armRgL,meleeOne,meleeTwo,rangedOne,rangedTwo,firearmsOne,firearmsTwo,thrownOne,thrownTwo,specialOne,specialTwo,feats,smallAction
1tun,Tunnel Lurker,1,"Humanoids adapted to subterranean environments, Tunnel Lurkers ambush from darkness and tight passages, striking quickly before retreating into cover.",Average Humanoid,Average Humanoid,5.0,5.0,10,12,1.0,1.0,1.0,6.0,6.0,5.0,5.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,,Leather Cap,,,Padded Vest,,,Fighting Knre,,Hand C.bow (40ft) (10),,,,,,"Sneak Attack: If the Tunnel Lurker hits a creature that is unaware, surprised, or flanked, the attack deals +1 damage.",,Threaten | - | -,Bum Rush | - | - | -
1was,"Wasp, Giant",1,Highly territorial flying insect with persistent pursuit behavior. Known to attack far beyond initial provocation.								,Average Insect,Average Insect,5.0,5.0,10,12,1.0,1.0,1.0,5.0,6.0,7.0,4.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,,,,,,,,Sting,Bite,,,,,,,"Giant Wasp Venom: Injury; Toughness DC 12; on a failed save, the target becomes Winded for 1 round; does not stack.",,Focus | - | -,- | - | - | -
1zom,"Zombie, Slow",1,"Decomposing humanoid animated by unknown forces. Movement is slow, but relentless pursuit makes it dangerous in confined spaces.								",Average Undead,Average Undead,5.0,5.0,15,12,1.0,1.0,1.0,6.0,3.0,2.0,7.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,,,,,,,,Scratch,Bite,,,,,,,"Sneak Attack: If the Zombie hits a creature that is unaware, surprised, or flanked, the attack deals +1 damage.",,Brace | Threaten | -,- | - | - | -
2bon,Bone Prophet,2,"Gaunt humanoid draped in bones and scavenged relics, using ritual preparation and close presence to enact unsettling effects rather than brute force.",Average Humanoid,Average Humanoid,5.0,5.0,16,13,2.0,2.0,3.0,5.0,6.0,5.0,5.0,6.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,3.0,0.0,1.0,,Leather Hood,,,Padded Robes,,,Fighting Knife,,Hand C.bow (40ft) (10),,,,,,"Bone Curse: The Bone Prophet makes a Hand 2 Hand melee attack; on a hit, the target must succeed on a Toughness Save (DC 12) or become Winded for 1 minute; each subsequent round while Winded, the target may spend a Small Action to attempt the save again, ending the effect on a success.",,Focus | Threaten | -,Break Their Guard | - | - | -
2bug,Bugbear,2,"Bear-bodied brute with chitinous claws, an insectoid maw, and a huge stinger, relying on speed and relentless pressure rather than subtlety or tactics.",Average Monster,Average Monster,5.0,5.0,22,13,3.0,2.0,2.0,8.0,5.0,4.0,7.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,,,,,,,,Claws (2),Bite,,,,,,,"The stinger injects a paralytic venom; on a hit, the target must succeed on a DC12 Resist Save or become Winded for 1 round.",,Brace | Threaten | -,- | - | - | -
2can,Cannibal Reaver,2,"Veteran cannibal enforcers who impose order through violence, Cannibal Reavers direct lesser scavengers in coordinated ambushes, maintaining discipline and brutality under fire.",Average Humanoid,Average Humanoid,5.0,5.0,20,13,2.0,3.0,2.0,7.0,5.0,5.0,6.0,3.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,0.0,Reinforced Scavenger Gear,Leather Cap,,,Padded Vest,,,Heavy Club,,Sling (60ft),,,,Throwing Axe (40ft),,"Sneak Attack: If the Cannibal Reaver hits a creature that is unaware, surprised, or flanked, the attack deals +1 damage.",,Brace | Focus | Threaten,Break Their Guard | Bum Rush | Hard to Kill | -
2cue,Cult Enforcer,2,,,,,,20,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2cup,Cult Priest,2,,,,,,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dir,Direnoodle,2,"At a glance, a Direnoodle resembles an oversized ferret with a playful gait. When it strikes, its jaw opens impossibly wide, revealing layered rows of paring-knife teeth before snapping shut and vanishing again.",Average Animal,Average Animal,5.0,5.0,22,13,4.0,2.0,1.0,4.0,6.0,7.0,4.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,,,,,,,,Bite,,,,,,,,"Ambush Skirmisher: If the Direnoodle makes a melee attack against a target it began its turn hidden from, it may immediately move up to half its movement without provoking an Attack of Opportunity.",,Brace | Threaten | -,- | - | - | -
2ele,Elemental Spawn,2,,,,,,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2gra,Grave Shepard,2,"A pale, jointless horror clings to ceilings by sinewed anchors, its elongated arms hanging limp until they snap downward to snare prey and haul them screaming upward.",Average Humanoid,Average Humanoid,5.0,10.0,18,13,2.0,2.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,3.0,2.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0,0.0,1.0,Gravedigger's Coat,,Armwrap Guard,Armwrap Guard,,,,Sharpened Shovel,,,,,,Steel Ball (40ft),,Director of the Dead: Undead within 20 ft of the Grave Shepherd gain +1 to attack rolls while it is conscious and able to give commands.,,Brace | Focus | Recover,Cat Like Reflexes | Cleaving | - | -
2meg,Meggot,2,"A massive undead maggot of bloated, corpse-white flesh, the Meggot crawls forward on rippling segments, its feeding end dominated by a grotesquely human-looking mouth that chews and works even when it is still.",Average Undead,Average Undead,5.0,5.0,20,13,1.0,3.0,2.0,5.0,3.0,2.0,6.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,,Hardened Jaw,,,,,,Body Whip,Bite,,,,,,,"Meggot Filth Poison: on successful bite target must make a DC 14 Toughness save or be poisoned. 1 min per save, no LAs, no movement, fail by 5+ and target falls prone",Carrion Feeder: The Meggot deals +1d6 damage to Paralyzed or Prone targets.,Environment | Focus | Threaten,Break Their Guard | Cleaving | - | -
2rai,Raider Enforcer,2,"Veteran raiders tasked with enforcing discipline and violence within raider bands, Enforcers are blunt instruments who maintain order through fear and force.",Average Humanoid,Average Humanoid,5.0,5.0,20,13,2.0,3.0,2.0,5.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,2.0,1.0,3.0,3.0,0.0,1.0,1.0,,Leather Cap,Armwrap Guard,Armwrap Guard,Leather Jerkin,,,Heavy Club,,,,Pistol,,,,,,Brace | Focus | -,Break Their Guard | - | - | -
2ros,ROEUS,2,,,,,,24,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2san,Singed Ash Nomad,2,"Ash Nomads who survived prolonged exposure to firestorms and irradiated glass-fields, their gear scorched and their bodies permanently marked by heat and smoke.",Average Humanoid,Average Humanoid,5.0,5.0,20,13,2.0,3.0,2.0,7.0,6.0,5.0,6.0,4.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,Canvas Duster,Leather Hood,,,Leather Jerkin,,,Hatchet,,Shortbow (60ft) (10),,Pistol (60ft) (10),,,,,,Brace | Focus | Threaten,Break Their Guard | Hard to Kill | - | -
2tet,Tetherling,2,"A pale, jointless horror clings to ceilings by sinewed anchors, its elongated arms hanging limp until they snap downward to snare prey and haul them screaming upward.",Average Aberration,Average Aberration,5.0,10.0,18,13,2.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,"Anchored Horror: If attached to a wall, add 2.",,,,,,,Lashing Arm,Crush,,,,,,,"Ceiling Snare: If the Tetherling hits a target with Lashing Arm while attached to a ceiling or wall, it may immediately grab the target with its elongated limb. The target is restrained by the limb until they escape using an appropriate opposed skill check (such as Athletics, Hand 2 Hand, or another GM-approved skill)","Anchored Horror: While attached to a ceiling or wall, the Tetherling gains +2 TAC against melee attacks made from below.",Environment | Focus | Threaten,Break Their Guard | Cleaving | - | -
2wal,Walters,2,"A dog-sized amphibian mutant, Walters are aggressive creatures marked by an exposed, human-like brain pulsing atop their skull.",Average Monster,Average Monster,5.0,5.0,24,13,3.0,2.0,1.0,4.0,5.0,5.0,4.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,,Exposed Brain,,,Thick Hide,,,Bite,Tongue Whip,,,,,,,"Erratic Reflexes: The first time each round a Walter is missed by a melee attack, it may immediately move up to 5 ft without provoking an Attack of Opportunity.",,Brace | Focus | Recover,- | - | - | -
2wil,Wild Wizard,2,"A scavenger spellcaster who survives through stealth, stolen knowledge, and half-understood magic, Wild Wizards blend arcane tricks with thief instincts.",Average Humanoid,Average Humanoid,5.0,5.0,14,13,3.0,1.0,3.0,2.0,4.0,5.0,3.0,5.0,3.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,3.0,Reinforced Robes,,Armwarp,Armwarp,,,,Short Blade,,,,,,Thrown Knife (20ft),,"Arcane Skulker: If the Wild Wizard begins its turn hidden, it gains +1 to spell DCs until the end of that turn.",,Brace | Focus | Recover,- | - | - | -
2zom,"Zombie, Fast",2,Recently reanimated corpse retaining bursts of speed and coordination. Often lethal before victims recognize the threat.								,Average Undead,Average Undead,5.0,5.0,20,13,2.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,,,,Reinforced Rags,,,Bite,Smack (2),,,,,,,Sneak Attack,,Threaten | - | -,Break Their Guard | Hard to Kill | - | -
3ash,Ash Nomad Longwalker,3,"Veteran pathfinders who range far beyond settled Deadlands, Longwalkers are hardened scouts and marksmen trusted to survive weeks alone in ash and ruin.",Average Humanoid,Average Humanoid,5.0,5.0,24,14,4.0,3.0,3.0,7.0,7.0,5.0,6.0,5.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,Reinforced Workwear,Leather Hood,,,Leather Jerkin,,,Hatchet,,Shortbow (60ft) (10),,Rifle (80ft) (10),,,,,,Brace | Focus | Threaten,Break Their Guard | Cat Like Reflexes | Hard to Kill | -
3bon,Bone Breaker,3,"A brutal cult enforcer hardened by ritual scars and heavy armor, Bone Breakers stride into the front line, shattering bodies while chanting grim rites through clenched teeth.",Average Humanoid,Average Humanoid,5.0,5.0,24,14,3.0,4.0,3.0,7.0,5.0,4.0,7.0,6.0,4.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,3.0,1.0,0.0,,Padded Helm,Armwrap Guard,,Reinforced Gambeson,,,Fighting Knife,Longblade,,,Blunderbuß (15ft) (10),,,,"Sneak Attack: If the Tunnel Lurker hits a creature that is unaware, surprised, or flanked, the attack deals +1 damage.",,Focus | Threaten | -,Break Their Guard | - | - | -
3can,Cannibal Booshare,3,"The Booshare is the butcher-chief of a cannibal pack, directing hunts and feasts alike through intimidation, crude signals, and absolute control over food and survival.",Average Humanoid,Average Humanoid,5.0,5.0,24,14,3.0,4.0,3.0,8.0,6.0,5.0,6.0,4.0,3.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,1.0,0.0,Reinforced Scavenger Gear,Leather Cap,Reinforced Leather Sleeve,Reinforced Leather Sleeve,Padded Vest,,,Cleaver,,Throwing Axe (80ft) (2),,,,Throwing Axe (40ft),,"Sneak Attack: If the Cannibal Booshare hits a creature that is unaware, surprised, or flanked, the attack deals +3 damage.",,Brace | Focus | Threaten,Break Their Guard | Bum Rush | Hard to Kill | Command
3cul,Cult Leader,3,,,,,,28,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3lig,Light Consumer,3,"A shifting mass of shadow and cold absence, the Light Consumer feeds on illumination, dimming and extinguishing light as it closes in on its prey.",Average Aberration,Average Aberration,10.0,10.0,32,14,3.0,3.0,3.0,4.0,6.0,5.0,5.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,,,,,,,,Shadow Lash,,,,,,,,Consume Light: Non-magical light sources within 20 ft of the Light Consumer are immediately extinguished. Magical light entering this area is suppressed while within the radius (returns when removed),,Brace | Threaten | -,Bum Rush | Cleaving | Hard to Kill | -
3lpe,Lo Pan’s Eye,3,,,,,,38,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3sha,Sh’alud,3,,,,,,34,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ter,Terrorbirb,3,"A towering, flightless hunter built for open ground, the Terrorbirb relies on brutal acceleration and a crushing beak strike to overwhelm prey in seconds.",Large Animal,Large Animal,10.0,10.0,36,14,3.0,4.0,2.0,7.0,5.0,6.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,—,,Reinforced Skull,,,,,,Beak,Talons (2),,,,,,,"Line Breaker: When the Terrorbirb reduces a target to 0 HP with a melee attack during a charge, it may continue moving up to half its remaining movement without provoking Attacks of Opportunity.",,Brace | Focus | Threaten,Bum Rush | - | - | -
3tun,Tunnel Witch,3,"Humanoids adapted to subterranean environments, Tunnel Lurkers ambush from darkness and tight passages, striking quickly before retreating into cover.",Average Humanoid,Average Humanoid,5.0,5.0,24,14,3.0,3.0,4.0,6.0,6.0,5.0,6.0,5.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,Reinforced Scavenger Gear,Leather Cap,,,Padded Vest,,,Fighting Knife,,Hand C.bow (40ft) (10),,,,,,"Sneak Attack: If the Tunnel Lurker hits a creature that is unaware, surprised, or flanked, the attack deals +1 damage.",,Focus | Threaten | -,Cat Like Reflexes | - | - | -
3who,Whobeast,3,"A massive mutant brute with a hulking body and an unmistakable owl-like face, the Whobeast is territorial, violent, and terrifyingly strong when roused.",Large Animal,Large Animal,10.0,10.0,38,14,2.0,4.0,2.0,8.0,5.0,4.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,—,,Thick Skull,,,,,,Claws (2),Bite,,,,,,,"Line Breaker: When the Terrorbirb reduces a target to 0 HP with a melee attack during a charge, it may continue moving up to half its remaining movement without provoking Attacks of Opportunity.",,Brace | Threaten | -,Bum Rush | Cleaving | Hard to Kill | -
3wtf,WTEF,3,"Advanced Walters variant exhibiting higher reasoning and tactical awareness, and some magical ability. WTEFs are hulking amphibian horrors whose swollen bodies and reinforced cranial domes protect a violently active human-like brain.",Large Monster,Large Monster,10.0,10.0,24,14,3.0,3.0,2.0,6.0,6.0,5.0,6.0,3.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,0.0,0.0,0.0,,Cranial Dome,,,Thick Hide,,,Bite,Tongue Whip (10ft),,,,,,,"Erratic Reflexes: The first time each round a WTEF is missed by a melee attack, it may immediately move up to 5 ft without provoking an Attack of Opportunity.","Predatory Snap: If the WTEF hits a creature with Tongue Whip, it gains +2 on its next Bite attack against that same target before the end of its next turn.",Brace | Focus | Recover,Cat Like Reflexes | Hard to Kill | - | -
