deityId,level,spellId
hast,2,stillness_pri_2
hast,2,weight_of_damnation_pri_2
hast,2,godly_protection_pri_2
hast,3,burden_of_sin_pri_3
hast,3,sanctuary_pri_3
hast,3,return_to_hell_pri_3
hast,3,hand_of_god_pri_3
khio,1,marked_by_the_divine_pri_1
khio,1,power_from_thy_hand_pri_1
khio,1,voice_from_above_pri_1
khio,1,wrath_of_the_divine_pri_1
khio,2,elemental_ward_pri_2
khio,2,stillness_pri_2
khio,2,snap_out_of_it_pri_2
khio,2,godly_protection_pri_2
khio,3,sanctuary_pri_3
khio,3,hand_of_god_pri_3
khio,3,burden_of_sin_pri_3
khio,3,return_to_hell_pri_3
lave,1,marked_by_the_divine_pri_1
lave,1,voice_from_above_pri_1
lave,1,power_from_thy_hand_pri_1
lave,1,wrath_of_the_divine_pri_1
lave,2,telepathy_pri_2
lave,2,franks_lament_pri_2
lave,2,godly_protection_pri_2
lave,2,stillness_pri_2
lave,3,sanctuary_pri_3
lave,3,burden_of_sin_pri_3
lave,3,hand_of_god_pri_3
lave,3,return_to_hell_pri_3
lill,1,marked_by_the_divine_pri_1
lill,1,voice_from_above_pri_1
lill,1,wrath_of_the_divine_pri_1
lill,1,power_from_thy_hand_pri_1
lill,2,telepathy_pri_2
lill,2,snap_out_of_it_pri_2
lill,2,weight_of_damnation_pri_2
lill,2,godly_protection_pri_2
lill,3,burden_of_sin_pri_3
lill,3,sanctuary_pri_3
lill,3,hand_of_god_pri_3
lill,3,return_to_hell_pri_3
nyog,1,wrath_of_the_divine_pri_1
nyog,1,voice_from_above_pri_1
nyog,1,marked_by_the_divine_pri_1
nyog,1,power_from_thy_hand_pri_1
nyog,2,weight_of_damnation_pri_2
nyog,2,stillness_pri_2
nyog,2,elemental_ward_pri_2
nyog,2,godly_protection_pri_2
nyog,3,return_to_hell_pri_3
nyog,3,burden_of_sin_pri_3
nyog,3,sanctuary_pri_3
nyog,3,hand_of_god_pri_3
quir,1,marked_by_the_divine_pri_1
quir,1,power_from_thy_hand_pri_1
quir,1,voice_from_above_pri_1
quir,1,wrath_of_the_divine_pri_1
quir,2,godly_protection_pri_2
quir,2,snap_out_of_it_pri_2
quir,2,elemental_ward_pri_2
quir,2,stillness_pri_2
quir,3,sanctuary_pri_3
quir,3,hand_of_god_pri_3
quir,3,burden_of_sin_pri_3
quir,3,return_to_hell_pri_3
utu,1,marked_by_the_divine_pri_1
utu,1,wrath_of_the_divine_pri_1
utu,1,voice_from_above_pri_1
utu,1,power_from_thy_hand_pri_1
utu,2,weight_of_damnation_pri_2
utu,2,stillness_pri_2
utu,2,godly_protection_pri_2
utu,2,snap_out_of_it_pri_2
utu,3,burden_of_sin_pri_3
utu,3,sanctuary_pri_3
utu,3,hand_of_god_pri_3
utu,3,return_to_hell_pri_3
ygol,1,marked_by_the_divine_pri_1
ygol,1,voice_from_above_pri_1
ygol,1,wrath_of_the_divine_pri_1
ygol,1,power_from_thy_hand_pri_1
ygol,2,telepathy_pri_2
ygol,2,weight_of_damnation_pri_2
ygol,2,franks_lament_pri_2
ygol,2,stillness_pri_2
ygol,3,burden_of_sin_pri_3
ygol,3,sanctuary_pri_3
ygol,3,hand_of_god_pri_3
ygol,3,return_to_hell_pri_3
zvil,1,marked_by_the_divine_pri_1
zvil,1,wrath_of_the_divine_pri_1
zvil,1,voice_from_above_pri_1
zvil,1,power_from_thy_hand_pri_1
zvil,2,franks_lament_pri_2
zvil,2,weight_of_damnation_pri_2
zvil,2,elemental_ward_pri_2
zvil,2,stillness_pri_2
zvil,3,burden_of_sin_pri_3
zvil,3,sanctuary_pri_3
zvil,3,hand_of_god_pri_3
zvil,3,return_to_hell_pri_3
